10001,422,9558029.895977246
10002,227,2660579.9624081403
10003,307,4258471.413130862
10004,74,5431107.738498789
10005,86,3157413.3112320635
10006,25,2806454.480786416
10007,130,4555460.220232766
10009,76,3510333.5342163355
10010,166,3867356.258347979
10011,344,3060964.4283493133
10012,225,4311763.520862308
10013,470,2395922.456257677
10014,271,4294766.604385769
10016,140,2334086.3359502447
10017,148,6195389.857454546
10018,156,1.2909934142614601E7
10019,480,3756431.374298878
10020,82,1.1281693435897435E8
10021,92,4211363.32846223
10022,161,6576607.644394111
10023,324,2250899.739180794
10024,85,3106592.8983600307
10025,79,1623496.409224599
10026,60,891562.0613738738
10027,155,2928094.8375404533
10028,43,5867508.702231121
10029,83,2872139.8954372625
10030,37,1289604.8210093896
10031,120,1867980.596975089
10032,83,3359482.9953519255
10033,45,2293839.2635796973
10034,9,3618694.0265339967
10035,27,2071635.5330490405
10036,516,8192274.98970108
10037,14,3028510.5477707004
10038,110,3724029.7284251587
10039,22,1927327.5326560233
10040,12,3279611.579439252
10041,10,1.4258580040816326E7
10044,8,3578823.6047297297
10045,10,1.14772E8
10048,13,0.0
10065,113,3924993.602739726
10069,3,893157.862854858
10075,54,2864318.073569482
10103,12,1.776756E8
10105,213,1.4650328575E8
10106,55,2.52147E8
10110,2,2.74888888E8
10112,17,1.3818392735849056E7
10115,4,1.30252E8
10118,4,9.20984E8
10119,10,8.762625E8
10120,2,1.02885E8
10121,145,1.42253E8
10128,68,2196323.488104145
10151,1,3.47142E8
10152,26,2.97006E8
10154,4,1.032973E9
10158,1,1.54497E8
10165,13,3.33689E8
10167,11,1.101088E9
10170,6,5.0123428571428575E7
10171,17,4.1649E8
10172,14,2.4165031888888888E7
10173,12,4.08924E8
10174,3,4.71828E8
10177,11,1.99514E8
10178,4,5.19777777E8
10271,2,1.3558233333333334E8
10278,7,2.10709E8
10280,6,868380.5179584121
10281,4,4.41615E8
10282,20,1.2504924772727273E7
10463,1,1641603.1393442622
